location,date,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,Gap,mfg_score
Bangladesh,2021-01-26,0.0,,0.0,,0
Bangladesh,2021-01-27,0.0,,0.0,,0
Bangladesh,2021-01-28,0.0,,0.0,,0
Bangladesh,2021-02-07,0.02,,0.02,,0
Bangladesh,2021-02-09,0.1,,0.1,,0
Bangladesh,2021-02-10,0.2,,0.2,,0
Bangladesh,2021-02-13,0.43,,0.43,,0
Bangladesh,2021-02-14,0.53,,0.53,,0
Bangladesh,2021-02-15,0.66,,0.66,,0
Bangladesh,2021-02-16,0.79,,0.79,,0
Bangladesh,2021-02-17,0.93,,0.93,,0
Bangladesh,2021-02-18,1.08,,1.08,,0
Bangladesh,2021-02-20,1.22,,1.22,,0
Bangladesh,2021-02-22,1.35,,1.35,,0
Bangladesh,2021-02-23,1.46,,1.46,,0
Bangladesh,2021-02-24,1.56,,1.56,,0
Bangladesh,2021-02-25,1.67,,1.67,,0
Bangladesh,2021-02-27,1.74,,1.74,,0
Bangladesh,2021-02-28,1.82,,1.82,,0
Bangladesh,2021-03-02,1.95,,1.95,,0
Bangladesh,2021-03-04,2.09,,2.09,,0
Bangladesh,2021-03-07,2.15,,2.15,,0
Bangladesh,2021-03-09,2.34,,2.34,,0
Bangladesh,2021-03-11,2.46,,2.46,,0
Bangladesh,2021-03-14,2.57,,2.57,,0
Bangladesh,2021-03-16,2.68,,2.68,,0
Bangladesh,2021-03-18,2.74,,2.74,,0
Bangladesh,2021-03-20,2.78,,2.78,,0
Bangladesh,2021-03-22,2.87,,2.87,,0
Bangladesh,2021-03-24,2.96,,2.96,,0
Bangladesh,2021-03-25,3.0,,3.0,,0
Bangladesh,2021-03-29,3.11,,3.11,,0
Bangladesh,2021-03-31,3.14,,3.14,,0
Bangladesh,2021-04-01,3.16,,3.16,,0
Bangladesh,2021-04-03,3.19,,3.19,,0
Bangladesh,2021-04-04,3.21,,3.21,,0
